kml,data,true,pred,confianca,prob_true,acerto,tempo_seg
SOJA_518176316-1_plantio_11-09-24_colheita_20-01-25.kml,2024-09-11,SOJA,,,,False,26.3
SOJA_518367386-1_plantio_01-11-24_colheita_01-04-25.kml,2024-11-01,SOJA,,,,False,26.4
MILHO_519979405-1_plantio_30-04-25_colheita_01-12-25.kml,2025-04-30,MILHO,,,,False,26.4
TRIGO_517372883-1_plantio_05-05-24_colheita_07-09-24.kml,2024-05-05,TRIGO,,,,False,26.4
TRIGO_518111978-1_plantio_18-06-24_colheita_05-11-24.kml,2024-06-18,TRIGO,,,,False,26.4
FEIJÃO_517397764-1_plantio_26-01-24_colheita_17-05-24.kml,2024-01-26,FEIJÃO,,,,False,14.5
AVEIA_517529258-1_plantio_21-05-24_colheita_20-09-24.kml,2024-05-21,AVEIA,,,,False,25.6
MILHO_519279962-1_plantio_26-02-25_colheita_27-06-25.kml,2025-02-26,MILHO,,,,False,25.6
SOJA_517864529-1_plantio_18-09-24_colheita_16-01-25.kml,2024-09-18,SOJA,,,,False,25.7
AVEIA_520026528-1_plantio_06-06-25_colheita_13-11-25.kml,2025-06-06,AVEIA,,,,False,25.7
AVEIA_517398636-1_plantio_11-06-24_colheita_05-10-24.kml,2024-06-11,AVEIA,,,,False,13.1
MILHO_520251036-1_plantio_11-09-25_colheita_25-01-26.kml,2025-09-11,MILHO,,,,False,13.5
AVEIA_517738485-1_plantio_01-06-24_colheita_01-10-24.kml,2024-06-01,AVEIA,,,,False,13.6
SOJA_518688725-1_plantio_01-10-24_colheita_01-02-25.kml,2024-10-01,SOJA,,,,False,13.6
TRIGO_519542607-1_plantio_01-06-25_colheita_10-11-25.kml,2025-06-01,TRIGO,,,,False,13.6
FEIJÃO_517593622-1_plantio_16-02-24_colheita_11-05-24.kml,2024-02-16,FEIJÃO,,,,False,13.2
AVEIA_519753287-1_plantio_01-06-25_colheita_20-10-25.kml,2025-06-01,AVEIA,,,,False,14.1
FEIJÃO_517426531-1_plantio_11-02-24_colheita_05-05-24.kml,2024-02-11,FEIJÃO,,,,False,14.0
MILHO_519607678-1_plantio_01-03-25_colheita_01-08-25.kml,2025-03-01,MILHO,,,,False,14.0
FEIJÃO_519611796-1_plantio_04-03-25_colheita_28-05-25.kml,2025-03-04,FEIJÃO,,,,False,14.0
MILHO_517525664-1_plantio_25-02-24_colheita_15-07-24.kml,2024-02-25,MILHO,,,,False,13.4
TRIGO_517694416-1_plantio_15-04-24_colheita_01-09-24.kml,2024-04-15,TRIGO,,,,False,14.3
TRIGO_519688570-1_plantio_30-05-25_colheita_15-10-25.kml,2025-05-30,TRIGO,,,,False,14.3
SOJA_517852562-1_plantio_03-10-24_colheita_31-12-24.kml,2024-10-03,SOJA,,,,False,14.4
FEIJÃO_517535436-1_plantio_15-02-24_colheita_30-05-24.kml,2024-02-15,FEIJÃO,,,,False,14.3
