kml,data,true,pred,confianca,prob_true,acerto,tempo_seg
TRIGO_517917448-1_plantio_01-06-24_colheita_14-10-24.kml,2024-06-01,TRIGO,TRIGO,93.4,93.4,True,10.1
FEIJÃO_519081820-1_plantio_10-02-25_colheita_20-05-25.kml,2025-02-10,FEIJÃO,FEIJÃO,93.3,93.3,True,10.2
SOJA_517864529-1_plantio_18-09-24_colheita_16-01-25.kml,2024-09-18,SOJA,FEIJÃO,90.4,4.9,False,10.2
SOJA_520233760-1_plantio_21-11-25_colheita_01-04-26.kml,2025-11-21,SOJA,SOJA,57.4,57.4,True,10.2
FEIJÃO_518993015-1_plantio_13-02-25_colheita_20-06-25.kml,2025-02-13,FEIJÃO,FEIJÃO,86.7,86.7,True,10.3
SOJA_518145934-1_plantio_01-10-24_colheita_25-02-25.kml,2024-10-01,SOJA,SOJA,54.2,54.2,True,10.1
MILHO_518237813-1_plantio_01-08-24_colheita_28-12-24.kml,2024-08-01,MILHO,MILHO,77.4,77.4,True,10.1
TRIGO_519843114-1_plantio_21-04-25_colheita_15-09-25.kml,2025-04-21,TRIGO,TRIGO,88.4,88.4,True,10.1
TRIGO_517779638-1_plantio_10-06-24_colheita_25-10-24.kml,2024-06-10,TRIGO,TRIGO,92.7,92.7,True,10.1
AVEIA_517792798-1_plantio_25-05-24_colheita_25-10-24.kml,2024-05-25,AVEIA,AVEIA,90.9,90.9,True,10.1
FEIJÃO_517426531-1_plantio_11-02-24_colheita_05-05-24.kml,2024-02-11,FEIJÃO,FEIJÃO,73.4,73.4,True,10.1
AVEIA_517938053-1_plantio_21-05-24_colheita_20-10-24.kml,2024-05-21,AVEIA,AVEIA,92.0,92.0,True,10.1
SOJA_518558631-1_plantio_10-11-24_colheita_25-03-25.kml,2024-11-10,SOJA,SOJA,44.5,44.5,True,10.1
TRIGO_517351987-1_plantio_20-04-24_colheita_20-08-24.kml,2024-04-20,TRIGO,TRIGO,88.3,88.3,True,10.1
TRIGO_517631557-1_plantio_01-06-24_colheita_01-10-24.kml,2024-06-01,TRIGO,TRIGO,92.5,92.5,True,10.1
TRIGO_519547105-1_plantio_01-06-25_colheita_15-10-25.kml,2025-06-01,TRIGO,TRIGO,93.3,93.3,True,10.1
FEIJÃO_520145040-1_plantio_01-09-25_colheita_20-11-25.kml,2025-09-01,FEIJÃO,MILHO,36.3,26.6,False,10.1
FEIJÃO_518751444-1_plantio_15-09-24_colheita_09-12-24.kml,2024-09-15,FEIJÃO,FEIJÃO,67.7,67.7,True,10.1
FEIJÃO_519402627-1_plantio_01-02-25_colheita_27-04-25.kml,2025-02-01,FEIJÃO,MILHO,55.0,38.2,False,10.1
MILHO_517667038-1_plantio_28-02-24_colheita_16-06-24.kml,2024-02-28,MILHO,MILHO,56.4,56.4,True,10.1
MILHO_519182696-1_plantio_08-04-25_colheita_22-07-25.kml,2025-04-08,MILHO,MILHO,95.0,95.0,True,10.0
AVEIA_519604267-1_plantio_24-05-25_colheita_11-10-25.kml,2025-05-24,AVEIA,AVEIA,90.9,90.9,True,10.1
TRIGO_517563635-1_plantio_25-05-24_colheita_01-10-24.kml,2024-05-25,TRIGO,TRIGO,92.8,92.8,True,10.1
SOJA_518246646-1_plantio_28-10-24_colheita_05-02-25.kml,2024-10-28,SOJA,SOJA,73.6,73.6,True,10.1
MILHO_518417684-1_plantio_15-09-24_colheita_15-01-25.kml,2024-09-15,MILHO,MILHO,61.7,61.7,True,10.1
FEIJÃO_518024290-1_plantio_15-10-24_colheita_13-01-25.kml,2024-10-15,FEIJÃO,SOJA,48.4,35.5,False,10.1
AVEIA_517530387-1_plantio_21-05-24_colheita_30-09-24.kml,2024-05-21,AVEIA,AVEIA,92.7,92.7,True,10.0
TRIGO_517743572-1_plantio_23-04-24_colheita_01-09-24.kml,2024-04-23,TRIGO,TRIGO,91.4,91.4,True,10.1
MILHO_520203176-1_plantio_05-09-25_colheita_20-01-26.kml,2025-09-05,MILHO,FEIJÃO,42.1,25.6,False,10.1
TRIGO_519794261-1_plantio_25-05-25_colheita_11-10-25.kml,2025-05-25,TRIGO,TRIGO,81.2,81.2,True,10.1
MILHO_519121431-1_plantio_20-02-25_colheita_10-07-25.kml,2025-02-20,MILHO,MILHO,94.0,94.0,True,10.1
FEIJÃO_517487495-1_plantio_23-02-24_colheita_01-04-24.kml,2024-02-23,FEIJÃO,MILHO,92.5,3.3,False,10.0
FEIJÃO_518241812-1_plantio_01-11-24_colheita_30-01-25.kml,2024-11-01,FEIJÃO,SOJA,67.8,7.8,False,10.1
AVEIA_517612643-1_plantio_15-05-24_colheita_15-10-24.kml,2024-05-15,AVEIA,AVEIA,93.0,93.0,True,10.1
