kml,data,true,argmax,max_prob,decisao,confiante,acerto,confianca_pct,prob_true,tempo_seg
MILHO_519252119-1_plantio_25-02-25_colheita_10-07-25.kml,2025-02-25,MILHO,FEIJÃO,0.578,UNDEFINIDO,False,False,57.8,31.3,10.2
AVEIA_517649607-1_plantio_01-06-24_colheita_20-09-24.kml,2024-06-01,AVEIA,AVEIA,0.884,AVEIA,True,True,88.4,88.4,10.2
FEIJÃO_518622293-1_plantio_16-02-25_colheita_22-05-25.kml,2025-02-16,FEIJÃO,FEIJÃO,0.607,UNDEFINIDO,False,False,60.7,60.7,10.2
SOJA_520283496-1_plantio_23-11-25_colheita_20-03-26.kml,2025-11-23,SOJA,SOJA,0.953,SOJA,True,True,95.3,95.3,10.2
AVEIA_519588861-1_plantio_01-06-25_colheita_15-10-25.kml,2025-06-01,AVEIA,AVEIA,0.914,AVEIA,True,True,91.4,91.4,10.2
AVEIA_519528190-1_plantio_21-05-25_colheita_01-10-25.kml,2025-05-21,AVEIA,AVEIA,0.914,AVEIA,True,True,91.4,91.4,10.1
AVEIA_517677037-1_plantio_21-05-24_colheita_05-10-24.kml,2024-05-21,AVEIA,AVEIA,0.888,AVEIA,True,True,88.8,88.8,10.1
TRIGO_519446306-1_plantio_05-06-25_colheita_10-11-25.kml,2025-06-05,TRIGO,TRIGO,0.925,TRIGO,True,True,92.5,92.5,10.1
MILHO_517465311-1_plantio_01-05-24_colheita_01-10-24.kml,2024-05-01,MILHO,MILHO,0.905,MILHO,True,True,90.5,90.5,10.1
AVEIA_517690232-1_plantio_15-06-24_colheita_20-10-24.kml,2024-06-15,AVEIA,AVEIA,0.885,AVEIA,True,True,88.5,88.5,10.1
SOJA_518461310-1_plantio_02-11-24_colheita_15-03-25.kml,2024-11-02,SOJA,SOJA,0.756,UNDEFINIDO,False,False,75.6,75.6,10.1
MILHO_519972387-1_plantio_15-05-25_colheita_01-11-25.kml,2025-05-15,MILHO,MILHO,0.94,MILHO,True,True,94.0,94.0,10.1
SOJA_518945632-1_plantio_15-11-24_colheita_01-04-25.kml,2024-11-15,SOJA,SOJA,0.844,SOJA,True,True,84.4,84.4,10.1
TRIGO_517546760-1_plantio_01-06-24_colheita_19-10-24.kml,2024-06-01,TRIGO,TRIGO,0.858,TRIGO,True,True,85.8,85.8,10.1
