kml,data,true,pred,confianca,prob_true,acerto,tempo_seg
TRIGO_519749863-1_plantio_20-05-25_colheita_28-10-25.kml,2025-05-20,TRIGO,TRIGO,93.8,93.8,True,60.8
TRIGO_517853755-1_plantio_25-05-24_colheita_17-09-24.kml,2024-05-25,TRIGO,TRIGO,91.5,91.5,True,60.8
FEIJÃO_519266353-1_plantio_15-01-25_colheita_31-03-25.kml,2025-01-15,FEIJÃO,SOJA,43.2,22.4,False,60.8
MILHO_517530396-1_plantio_15-06-24_colheita_15-10-24.kml,2024-06-15,MILHO,MILHO,92.0,92.0,True,60.8
AVEIA_518128083-1_plantio_17-06-24_colheita_15-10-24.kml,2024-06-17,AVEIA,AVEIA,92.8,92.8,True,60.8
FEIJÃO_517530514-1_plantio_24-02-24_colheita_20-05-24.kml,2024-02-24,FEIJÃO,FEIJÃO,47.7,47.7,True,10.1
FEIJÃO_518163948-1_plantio_08-10-24_colheita_22-12-24.kml,2024-10-08,FEIJÃO,SOJA,89.9,2.6,False,10.1
SOJA_518331333-1_plantio_01-10-24_colheita_01-02-25.kml,2024-10-01,SOJA,SOJA,53.7,53.7,True,10.1
SOJA_520100936-1_plantio_25-11-25_colheita_10-04-26.kml,2025-11-25,SOJA,SOJA,82.1,82.1,True,10.1
TRIGO_519863136-1_plantio_10-06-25_colheita_25-10-25.kml,2025-06-10,TRIGO,TRIGO,93.3,93.3,True,10.1
FEIJÃO_518308113-1_plantio_25-09-24_colheita_19-12-24.kml,2024-09-25,FEIJÃO,SOJA,41.0,37.6,False,10.0
SOJA_518274072-1_plantio_15-10-24_colheita_17-02-25.kml,2024-10-15,SOJA,SOJA,37.2,37.2,True,10.1
FEIJÃO_518466891-1_plantio_20-09-24_colheita_14-12-24.kml,2024-09-20,FEIJÃO,SOJA,87.3,7.4,False,10.1
TRIGO_517419661-1_plantio_20-05-24_colheita_01-10-24.kml,2024-05-20,TRIGO,TRIGO,83.8,83.8,True,10.1
MILHO_518403001-1_plantio_02-08-24_colheita_02-01-25.kml,2024-08-02,MILHO,MILHO,77.7,77.7,True,10.1
AVEIA_517742332-1_plantio_21-05-24_colheita_15-09-24.kml,2024-05-21,AVEIA,AVEIA,88.2,88.2,True,10.1
AVEIA_520025243-1_plantio_02-06-25_colheita_15-10-25.kml,2025-06-02,AVEIA,AVEIA,93.1,93.1,True,10.0
MILHO_520160485-1_plantio_21-08-25_colheita_19-12-25.kml,2025-08-21,MILHO,MILHO,50.9,50.9,True,10.1
SOJA_520319463-1_plantio_01-11-25_colheita_15-03-26.kml,2025-11-01,SOJA,SOJA,85.9,85.9,True,10.1
SOJA_520005828-1_plantio_21-09-25_colheita_14-01-26.kml,2025-09-21,SOJA,SOJA,49.8,49.8,True,10.1
MILHO_518400022-1_plantio_20-11-24_colheita_10-03-25.kml,2024-11-20,MILHO,SOJA,69.3,16.1,False,10.1
TRIGO_519700484-1_plantio_25-05-25_colheita_10-10-25.kml,2025-05-25,TRIGO,TRIGO,87.4,87.4,True,10.0
AVEIA_517681337-1_plantio_30-04-24_colheita_02-09-24.kml,2024-04-30,AVEIA,AVEIA,73.0,73.0,True,10.1
AVEIA_517890168-1_plantio_25-05-24_colheita_15-10-24.kml,2024-05-25,AVEIA,AVEIA,88.0,88.0,True,10.1
